
PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Honda                                              Spalinowy czterosuwowy                             Custom                                                        787,93        100
Ducati                                             Spalinowy dwusuwowy                                Winter                                                        784,72        101
Peugeot                                            Elektryczny                                        Sport                                                         779,88        102
Peugeot                                            Spalinowy czterosuwowy                             City                                                          778,73        103
Suzuki                                             Spalinowy czterosuwowy                             NightRide                                                     767,13        104
Ducati                                             Elektryczny                                        Ultimate                                                      765,09        105
Suzuki                                             Spalinowy dwusuwowy                                Adventure                                                     759,88        106
Keeway                                             Spalinowy dwusuwowy                                Safety                                                        757,78        107
CFMoto                                             Spalinowy czterosuwowy                             Elegance                                                      753,25        108
Keeway                                             Spalinowy dwusuwowy                                Standard                                                      751,39        109
Keeway                                             Elektryczny                                        Off-road                                                  751,213333        110

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Honda                                              Elektryczny                                        Elegance                                                      750,26        111
Malaguti                                           Spalinowy dwusuwowy                                NightRide                                                     748,66        112
Honda                                              Spalinowy dwusuwowy                                Custom                                                        743,63        113
Super Soco                                         Spalinowy czterosuwowy                             Premium                                                       743,15        114
Bajaj                                              Spalinowy dwusuwowy                                Dynamic                                                       743,12        115
E-Twow                                             Elektryczny                                        Extreme                                                       734,95        116
Rieju                                              Spalinowy dwusuwowy                                Safety                                                        733,34        117
Moto Guzzi                                         Spalinowy czterosuwowy                             Extreme                                                       732,69        118
Peugeot                                            Elektryczny                                        Exclusive                                                     731,73        119
Suzuki                                             Spalinowy czterosuwowy                             Winter                                                        730,92        120
Malaguti                                           Spalinowy czterosuwowy                             Komfort                                                       723,77        121

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Lifan                                              Spalinowy czterosuwowy                             Standard                                                    721,9675        122
TGB                                                Spalinowy czterosuwowy                             Custom                                                       721,665        123
Lifan                                              Spalinowy dwusuwowy                                Adventure                                                     720,58        124
E-Twow                                             Elektryczny                                        Ultimate                                                      716,98        125
CFMoto                                             Spalinowy dwusuwowy                                TouringPlus                                                   708,65        126
Rieju                                              Spalinowy dwusuwowy                                Standard                                                     708,215        127
Bajaj                                              Spalinowy dwusuwowy                                Travel                                                        708,06        128
TGB                                                Spalinowy dwusuwowy                                LED                                                           706,97        129
Rieju                                              Elektryczny                                        Elegance                                                      705,35        130
Lifan                                              Spalinowy dwusuwowy                                Touring                                                       703,51        131
TGB                                                Spalinowy dwusuwowy                                Sport                                                         701,84        132

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Sym                                                Spalinowy czterosuwowy                             NightRide                                                     701,56        133
Yamaha                                             Elektryczny                                        Lux                                                           699,31        134
CFMoto                                             Spalinowy czterosuwowy                             Touring                                                       699,24        135
Rieju                                              Spalinowy czterosuwowy                             Safety                                                        697,87        136
Gogoro                                             Spalinowy czterosuwowy                             Urban                                                         697,32        137
Super Soco                                         Spalinowy dwusuwowy                                Urban                                                         696,52        138
Aprilia                                            Elektryczny                                        Elegance                                                      696,25        139
Super Soco                                         Elektryczny                                        Komfort                                                       693,62        140
Loncin                                             Spalinowy czterosuwowy                             Custom                                                        693,01        141
Keeway                                             Elektryczny                                        Pro                                                            692,2        142
CFMoto                                             Spalinowy dwusuwowy                                Elegance                                                      691,23        143

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Suzuki                                             Spalinowy dwusuwowy                                Smart                                                     691,136667        144
Peugeot                                            Elektryczny                                        Lux                                                           689,41        145
Piaggio                                            Spalinowy dwusuwowy                                Winter                                                        686,81        146
NIU                                                Spalinowy dwusuwowy                                Smart                                                         686,42        147
TGB                                                Elektryczny                                        Urban                                                         685,66        148
Peugeot                                            Spalinowy czterosuwowy                             Winter                                                        682,33        149
Ducati                                             Spalinowy dwusuwowy                                LED                                                           681,53        150
Suzuki                                             Spalinowy czterosuwowy                             Business                                                      679,33        151
CFMoto                                             Spalinowy dwusuwowy                                Safety                                                       678,505        152
Peugeot                                            Spalinowy dwusuwowy                                Premium                                                       678,32        153
CFMoto                                             Spalinowy czterosuwowy                             Travel                                                        673,64        154

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Keeway                                             Spalinowy czterosuwowy                             Urban                                                         671,36        155
Suzuki                                             Spalinowy czterosuwowy                             Prestige                                                      671,18        156
Lifan                                              Spalinowy dwusuwowy                                Off-road                                                      669,66        157
Aeon                                               Spalinowy dwusuwowy                                Dynamic                                                        667,9        158
TGB                                                Spalinowy dwusuwowy                                Dynamic                                                       663,41        159
E-Twow                                             Elektryczny                                        Off-road                                                      663,07        160
Lifan                                              Elektryczny                                        Dynamic                                                      662,255        161
Keeway                                             Spalinowy czterosuwowy                             Tech                                                          661,81        162
Aeon                                               Spalinowy dwusuwowy                                Winter                                                        661,23        163
Super Soco                                         Spalinowy czterosuwowy                             Standard                                                      655,53        164
Gogoro                                             Elektryczny                                        Eco                                                           653,48        165

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Rieju                                              Spalinowy dwusuwowy                                City                                                          653,22        166
Yamaha                                             Spalinowy dwusuwowy                                Dynamic                                                        653,1        167
Lifan                                              Spalinowy czterosuwowy                             NightRide                                                     652,79        168
Peugeot                                            Spalinowy dwusuwowy                                Elegance                                                      651,58        169
Rieju                                              Elektryczny                                        Exclusive                                                     648,73        170
Keeway                                             Elektryczny                                        Touring                                                       647,41        171
Malaguti                                           Elektryczny                                        Winter                                                        644,34        172
Rieju                                              Spalinowy dwusuwowy                                Touring                                                       644,34        172
TGB                                                Spalinowy dwusuwowy                                City                                                          642,91        173
Yamaha                                             Spalinowy czterosuwowy                             Safety                                                        641,15        174
CFMoto                                             Elektryczny                                        Urban                                                         640,85        175

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Peugeot                                            Elektryczny                                        City                                                          638,83        176
Moto Guzzi                                         Spalinowy dwusuwowy                                Ultimate                                                      633,17        177
CFMoto                                             Elektryczny                                        Elegance                                                       632,8        178
Moto Guzzi                                         Spalinowy dwusuwowy                                Prestige                                                      631,42        179
Kawasaki                                           Spalinowy czterosuwowy                             Pro                                                           629,91        180
Keeway                                             Spalinowy czterosuwowy                             LED                                                           624,24        181
Suzuki                                             Spalinowy dwusuwowy                                LED                                                           621,32        182
Keeway                                             Spalinowy dwusuwowy                                Extreme                                                       621,06        183
Loncin                                             Spalinowy czterosuwowy                             TouringPlus                                                   620,82        184
Super Soco                                         Elektryczny                                        City                                                          618,33        185
E-Twow                                             Spalinowy dwusuwowy                                Komfort                                                       617,47        186

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Piaggio                                            Spalinowy czterosuwowy                             Elegance                                                      616,96        187
CFMoto                                             Spalinowy dwusuwowy                                SafetyPlus                                                    616,86        188
E-Twow                                             Spalinowy dwusuwowy                                Sport                                                         616,68        189
Malaguti                                           Spalinowy dwusuwowy                                Smart                                                         614,61        190
Yamaha                                             Spalinowy czterosuwowy                             Lux                                                           614,35        191
Ducati                                             Spalinowy dwusuwowy                                Adventure                                                     614,24        192
Keeway                                             Spalinowy czterosuwowy                             SafetyPlus                                                     611,3        193
BMW                                                Elektryczny                                        Komfort                                                       610,98        194
Bajaj                                              Spalinowy czterosuwowy                             Travel                                                        609,89        195
Loncin                                             Spalinowy dwusuwowy                                Smart                                                         609,41        196
Super Soco                                         Elektryczny                                        Premium                                                       606,79        197

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Moto Guzzi                                         Elektryczny                                        Eco                                                           604,88        198
Gogoro                                             Spalinowy dwusuwowy                                Elegance                                                      604,72        199
Malaguti                                           Spalinowy dwusuwowy                                Adventure                                                     604,48        200
Honda                                              Elektryczny                                        NightRide                                                     603,33        201
CFMoto                                             Spalinowy dwusuwowy                                Off-road                                                      600,28        202
CFMoto                                             Spalinowy dwusuwowy                                Eco                                                           599,15        203
Super Soco                                         Spalinowy czterosuwowy                             Smart                                                         598,77        204
Loncin                                             Spalinowy dwusuwowy                                Off-road                                                      597,08        205
TGB                                                Spalinowy czterosuwowy                             TouringPlus                                                   596,74        206
Lifan                                              Spalinowy czterosuwowy                             SafetyPlus                                                    593,34        207
Peugeot                                            Elektryczny                                        Business                                                      588,26        208

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Sym                                                Spalinowy dwusuwowy                                Premium                                                       587,53        209
Moto Guzzi                                         Spalinowy czterosuwowy                             Travel                                                           587        210
Lifan                                              Spalinowy dwusuwowy                                Business                                                      586,43        211
Malaguti                                           Spalinowy czterosuwowy                             Touring                                                       586,35        212
E-Twow                                             Spalinowy czterosuwowy                             Prestige                                                      585,62        213
Lifan                                              Spalinowy dwusuwowy                                Safety                                                       585,505        214
Bajaj                                              Elektryczny                                        Standard                                                      583,12        215
Aprilia                                            Spalinowy dwusuwowy                                Urban                                                         580,15        216
Bajaj                                              Spalinowy czterosuwowy                             Dynamic                                                        579,9        217
Malaguti                                           Elektryczny                                        Travel                                                        579,36        218
Lifan                                              Spalinowy dwusuwowy                                Tech                                                          576,16        219

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Aprilia                                            Spalinowy dwusuwowy                                City                                                          576,04        220
CFMoto                                             Spalinowy czterosuwowy                             City                                                          575,96        221
Suzuki                                             Spalinowy dwusuwowy                                NightRide                                                     575,55        222
TGB                                                Spalinowy czterosuwowy                             Business                                                      573,58        223
Aeon                                               Spalinowy czterosuwowy                             Ultimate                                                      573,27        224
Sym                                                Elektryczny                                        Exclusive                                                     571,84        225
Sym                                                Spalinowy dwusuwowy                                City                                                          569,67        226
Super Soco                                         Elektryczny                                        Sport                                                         567,43        227
Ducati                                             Spalinowy czterosuwowy                             Custom                                                        565,36        228
E-Twow                                             Spalinowy dwusuwowy                                NightRide                                                     564,34        229
Aeon                                               Elektryczny                                        Premium                                                       563,71        230

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Aprilia                                            Elektryczny                                        Adventure                                                     563,28        231
Bajaj                                              Elektryczny                                        City                                                         559,665        232
TGB                                                Spalinowy dwusuwowy                                Elegance                                                      559,64        233
Keeway                                             Spalinowy czterosuwowy                             Komfort                                                       558,75        234
Moto Guzzi                                         Spalinowy czterosuwowy                             Komfort                                                       555,35        235
Lifan                                              Spalinowy dwusuwowy                                SafetyPlus                                                    555,27        236
Rieju                                              Spalinowy dwusuwowy                                Smart                                                         554,18        237
E-Twow                                             Spalinowy dwusuwowy                                Pro                                                            551,9        238
Super Soco                                         Elektryczny                                        Touring                                                       546,18        239
Lifan                                              Spalinowy dwusuwowy                                Classic                                                   542,446667        240
Rieju                                              Elektryczny                                        Tech                                                          540,39        241

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Keeway                                             Spalinowy czterosuwowy                             NightRide                                                     540,35        242
Sym                                                Spalinowy dwusuwowy                                Winter                                                        540,22        243
E-Twow                                             Spalinowy dwusuwowy                                Dynamic                                                       540,07        244
Moto Guzzi                                         Elektryczny                                        Dynamic                                                       538,51        245
Lifan                                              Elektryczny                                        Smart                                                         536,54        246
Gogoro                                             Elektryczny                                        Touring                                                       536,26        247
Loncin                                             Spalinowy czterosuwowy                             Eco                                                          533,685        248
Aeon                                               Spalinowy dwusuwowy                                City                                                          533,37        249
Ducati                                             Spalinowy dwusuwowy                                Exclusive                                                     530,73        250
Aeon                                               Elektryczny                                        Sport                                                         530,42        251
Peugeot                                            Spalinowy czterosuwowy                             Smart                                                         529,29        252

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Suzuki                                             Spalinowy dwusuwowy                                Exclusive                                                     528,44        253
CFMoto                                             Elektryczny                                        City                                                        527,6075        254
Aprilia                                            Spalinowy czterosuwowy                             Exclusive                                                     527,56        255
Honda                                              Elektryczny                                        Pro                                                           526,69        256
Yamaha                                             Spalinowy czterosuwowy                             Sport                                                         526,64        257
NIU                                                Elektryczny                                        Touring                                                       526,49        258
Bajaj                                              Spalinowy dwusuwowy                                Tech                                                          525,24        259
Rieju                                              Spalinowy dwusuwowy                                Prestige                                                      525,11        260
Aeon                                               Spalinowy czterosuwowy                             Eco                                                           523,52        261
Lifan                                              Elektryczny                                        Classic                                                       521,03        262
TGB                                                Elektryczny                                        Premium                                                       520,94        263

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
CFMoto                                             Spalinowy czterosuwowy                             Business                                                      519,69        264
Suzuki                                             Elektryczny                                        Custom                                                        518,92        265
Kawasaki                                           Spalinowy czterosuwowy                             Touring                                                       517,43        266
Aeon                                               Spalinowy czterosuwowy                             Tech                                                          517,21        267
Malaguti                                           Spalinowy dwusuwowy                                Komfort                                                       516,12        268
Lifan                                              Elektryczny                                        Touring                                                        514,5        269
Lifan                                              Elektryczny                                        Adventure                                                     511,59        270
Peugeot                                            Spalinowy dwusuwowy                                SafetyPlus                                                     511,2        271
Aeon                                               Spalinowy dwusuwowy                                SafetyPlus                                                    510,92        272
Gogoro                                             Elektryczny                                        Off-road                                                      509,73        273
Keeway                                             Elektryczny                                        LED                                                            508,6        274

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Loncin                                             Elektryczny                                        Sport                                                         507,39        275
NIU                                                Spalinowy czterosuwowy                             Winter                                                        506,32        276
Lifan                                              Spalinowy czterosuwowy                             Elegance                                                      500,68        277
Rieju                                              Spalinowy dwusuwowy                                Classic                                                       500,27        278
Peugeot                                            Spalinowy czterosuwowy                             Exclusive                                                     499,88        279
TGB                                                Elektryczny                                        Winter                                                         496,7        280
Kawasaki                                           Spalinowy czterosuwowy                             Lux                                                           493,34        281
Sym                                                Elektryczny                                        Custom                                                         491,9        282
Lifan                                              Elektryczny                                        Exclusive                                                      488,1        283
Aeon                                               Spalinowy dwusuwowy                                Touring                                                       487,71        284
Peugeot                                            Elektryczny                                        Komfort                                                       487,58        285

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Lifan                                              Elektryczny                                        Eco                                                           486,39        286
Honda                                              Spalinowy dwusuwowy                                Ultimate                                                      484,64        287
Super Soco                                         Elektryczny                                        Prestige                                                      483,88        288
CFMoto                                             Elektryczny                                        Eco                                                          481,165        289
Keeway                                             Spalinowy dwusuwowy                                Business                                                      478,45        290
TGB                                                Spalinowy czterosuwowy                             NightRide                                                     476,77        291
Lifan                                              Spalinowy dwusuwowy                                Urban                                                        476,245        292
Aeon                                               Spalinowy czterosuwowy                             Exclusive                                                     472,36        293
Super Soco                                         Spalinowy dwusuwowy                                Touring                                                       471,79        294
BMW                                                Elektryczny                                        Elegance                                                      470,18        295
Peugeot                                            Spalinowy czterosuwowy                             Premium                                                        469,1        296

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Gogoro                                             Spalinowy dwusuwowy                                NightRide                                                      468,9        297
E-Twow                                             Spalinowy czterosuwowy                             LED                                                           468,28        298
Gogoro                                             Spalinowy czterosuwowy                             Komfort                                                       467,52        299
Aeon                                               Elektryczny                                        Travel                                                         465,7        300
Super Soco                                         Elektryczny                                        Dynamic                                                       459,41        301
Malaguti                                           Elektryczny                                        Pro                                                           458,97        302
Kawasaki                                           Spalinowy czterosuwowy                             SafetyPlus                                                    458,14        303
Ducati                                             Spalinowy dwusuwowy                                Standard                                                      457,12        304
Rieju                                              Spalinowy dwusuwowy                                Travel                                                        456,17        305
Peugeot                                            Spalinowy czterosuwowy                             Komfort                                                       451,34        306
Lifan                                              Spalinowy czterosuwowy                             Komfort                                                       450,46        307

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
Aeon                                               Spalinowy dwusuwowy                                Elegance                                                      450,28        308
Loncin                                             Elektryczny                                        TouringPlus                                                   450,04        309
Keeway                                             Elektryczny                                        Winter                                                        445,86        310
Lifan                                              Spalinowy czterosuwowy                             Lux                                                           444,54        311
Lifan                                              Spalinowy czterosuwowy                             Pro                                                           444,35        312
Kawasaki                                           Spalinowy czterosuwowy                             Komfort                                                       439,74        313
Aeon                                               Spalinowy dwusuwowy                                Tech                                                             438        314
Moto Guzzi                                         Elektryczny                                        TouringPlus                                                   437,46        315
Malaguti                                           Spalinowy dwusuwowy                                Touring                                                       437,28        316
Keeway                                             Spalinowy dwusuwowy                                Elegance                                                      434,25        317
Malaguti                                           Spalinowy czterosuwowy                             SafetyPlus                                                    433,43        318

PRODUCENT                                          TYP_NAPEDU                                         PAKIET_WYPOSAZENIA                                 SREDNIA_POJEMNOSC    RANKING
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ----------------- ----------
